business_id,name,category,brand,lat,lon,geom,address,city,state,zip,address_norm,phone,website,present_in,def,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,search_tsv,last_seen_at,last_seen_src,liveness,live_state,live_presence,live_sources,live_corrob,live_reasons
biz_0008b0fc609a8527,شبين الكوم Dopamine,fast_food,,40.71670150756836,-74,POINT(-74 40.71670150756836),شارع الجلاء البحري أمام مسجد الكريم خلف بلبن,New York,NY,<<not-applicable>>,,+201020142982,https://easycity.app/store?slug=dopamine,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.71670150756836, ""lon"": -74, ""zip"": ""<<not-applicable>>"", ""city"": ""New York"", ""name"": ""شبين الكوم Dopamine"", ""brand"": null, ""phone"": ""+201020142982"", ""state"": ""NY"", ""address"": ""شارع الجلاء البحري أمام مسجد الكريم خلف بلبن"", ""release"": ""2026-07-22.0"", ""website"": ""https://easycity.app/store?slug=dopamine"", ""category"": ""fast_food"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.30538806319236755, ""category_source"": ""fast_food_restaurant"", ""source_record_id"": ""4cec13e5-8ab9-4f21-9fb3-968885532f6d""}}",'dopamin':3 'new':4 'york':5 'الكوم':2 'شبين':1,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_001620e2806237b4,Deluxe Food Market,grocery,,40.71809768676758,-73.99652099609375,POINT(-73.99652099609375 40.71809768676758),79 Elizabeth St,New York,NY,10013-4729,,+12129255766,http://www.yelp.com/biz/deluxe-food-market-new-york,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.71809768676758, ""lon"": -73.99652099609375, ""zip"": ""10013-4729"", ""city"": ""New York"", ""name"": ""Deluxe Food Market"", ""brand"": null, ""phone"": ""+12129255766"", ""state"": ""NY"", ""address"": ""79 Elizabeth St"", ""release"": ""2026-07-22.0"", ""website"": ""http://www.yelp.com/biz/deluxe-food-market-new-york"", ""category"": ""grocery"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9766488671302795, ""category_source"": ""grocery_store"", ""source_record_id"": ""bc33c97e-b8ec-4b13-8a0b-84489200c4e8""}}",'delux':1 'food':2 'market':3 'new':4 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_003499043b6dc88b,Gasoline Alley Coffee,cafe,,40.72023391723633,-73.9986572265625,POINT(-73.9986572265625 40.72023391723633),154 Grand St,New York,NY,10013-3141,,2129330113,http://www.gasolinealleycoffee.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.72023391723633, ""lon"": -73.9986572265625, ""zip"": ""10013-3141"", ""city"": ""New York"", ""name"": ""Gasoline Alley Coffee"", ""brand"": null, ""phone"": ""2129330113"", ""state"": ""NY"", ""address"": ""154 Grand St"", ""release"": ""2026-07-22.0"", ""website"": ""http://www.gasolinealleycoffee.com"", ""category"": ""cafe"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.75, ""category_source"": ""cafe"", ""source_record_id"": ""600758eb-e353-451d-bbd0-6b712918ab00""}}",'alley':2 'coffe':3 'gasolin':1 'new':4 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_00467f4299551bbf,One direction store New York,hotel,,40.72825622558594,-73.9961929321289,POINT(-73.9961929321289 40.72825622558594),New York 59010 2 Penn Square,New York,NY,07307,,,http://www.onedirectionstore.com/,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,70,65,100,63,50,{},"{""overture"": {""lat"": 40.72825622558594, ""lon"": -73.9961929321289, ""zip"": ""07307"", ""city"": ""New York"", ""name"": ""One direction store New York"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""New York 59010 2 Penn Square"", ""release"": ""2026-07-22.0"", ""website"": ""http://www.onedirectionstore.com/"", ""category"": ""hotel"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.5204017758369446, ""category_source"": ""hotel"", ""source_record_id"": ""35656110-80da-4c04-8b1d-f8e6ca201898""}}","'direct':2 'new':4,6 'one':1 'store':3 'york':5,7",2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_009e9a46130172d4,Brooklands Cafe,restaurant,,40.716426849365234,-74.0001449584961,POINT(-74.0001449584961 40.716426849365234),Western Road,New York,NY,BN15 8RX,,,,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,68,65,100,50,50,{},"{""overture"": {""lat"": 40.716426849365234, ""lon"": -74.0001449584961, ""zip"": ""BN15 8RX"", ""city"": ""New York"", ""name"": ""Brooklands Cafe"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""Western Road"", ""release"": ""2026-07-22.0"", ""website"": null, ""category"": ""restaurant"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.7479727864265442, ""category_source"": ""restaurant"", ""source_record_id"": ""6ca6c00c-f9f1-445d-9335-46539a849be3""}}",'brookland':1 'cafe':2 'new':3 'york':4,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_009ea56c32feb527,Hotel Indigo,hotel,Hotel Indigo,40.707698822021484,-74.01317596435547,POINT(-74.01317596435547 40.707698822021484),50 Trinity Pl,New York,NY,10006-2207,,+16469289388,https://www.ihg.com/hotelindigo/hotels/us/en/los-angeles/laxfs/hoteldetail,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,78,65,100,100,50,{},"{""overture"": {""lat"": 40.707698822021484, ""lon"": -74.01317596435547, ""zip"": ""10006-2207"", ""city"": ""New York"", ""name"": ""Hotel Indigo"", ""brand"": ""Hotel Indigo"", ""phone"": ""+16469289388"", ""state"": ""NY"", ""address"": ""50 Trinity Pl"", ""release"": ""2026-07-22.0"", ""website"": ""https://www.ihg.com/hotelindigo/hotels/us/en/los-angeles/laxfs/hoteldetail"", ""category"": ""hotel"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9984673857688904, ""category_source"": ""hotel"", ""source_record_id"": ""3db74a7f-0ceb-4d64-ad6c-82341de7c556""}}","'hotel':1,3 'indigo':2,4 'new':5 'york':6",2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_00bc3703a31ca322,Urbo Nyc,restaurant,,40.73589324951172,-73.99177551269531,POINT(-73.99177551269531 40.73589324951172),11 Times Sq,New York,NY,10036-6600,,,https://www.urbonyc.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,70,65,100,63,50,{},"{""overture"": {""lat"": 40.73589324951172, ""lon"": -73.99177551269531, ""zip"": ""10036-6600"", ""city"": ""New York"", ""name"": ""Urbo Nyc"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""11 Times Sq"", ""release"": ""2026-07-22.0"", ""website"": ""https://www.urbonyc.com"", ""category"": ""restaurant"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.95, ""category_source"": ""restaurant"", ""source_record_id"": ""6ab6fc52-e3c9-4f5a-b714-9c8df9e31a7f""}}",'new':3 'nyc':2 'urbo':1 'york':4,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_00d3ed2fd4857c72,Canal Loft Hotel,hotel,,40.71537399291992,-73.9938735961914,POINT(-73.9938735961914 40.71537399291992),94 Canal St,New York,NY,10002-6004,,+13323331011,https://www.canallofthotel.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.71537399291992, ""lon"": -73.9938735961914, ""zip"": ""10002-6004"", ""city"": ""New York"", ""name"": ""Canal Loft Hotel"", ""brand"": null, ""phone"": ""+13323331011"", ""state"": ""NY"", ""address"": ""94 Canal St"", ""release"": ""2026-07-22.0"", ""website"": ""https://www.canallofthotel.com"", ""category"": ""hotel"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9990818500518799, ""category_source"": ""hotel"", ""source_record_id"": ""0c8a2d2b-f531-4247-8892-31dd6b34fc31""}}",'canal':1 'hotel':3 'loft':2 'new':4 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_00eb111becc58131,Order And Roll Inc,restaurant,,40.70773696899414,-74.00554656982422,POINT(-74.00554656982422 40.70773696899414),111 John St Ste 525,New York,NY,10038-3125,,,,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,68,65,100,50,50,{},"{""overture"": {""lat"": 40.70773696899414, ""lon"": -74.00554656982422, ""zip"": ""10038-3125"", ""city"": ""New York"", ""name"": ""Order And Roll Inc"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""111 John St Ste 525"", ""release"": ""2026-07-22.0"", ""website"": null, ""category"": ""restaurant"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.95, ""category_source"": ""restaurant"", ""source_record_id"": ""3d8c0364-98f4-4c9e-9974-b383f47e23aa""}}",'inc':4 'new':5 'order':1 'roll':3 'york':6,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_0110138d7abc3c3c,Battery Place Market,grocery,,40.715091705322266,-74.01465606689453,POINT(-74.01465606689453 40.715091705322266),240 Murray St,New York,NY,10282-5600,,,https://batteryplacemarkets.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,70,65,100,63,50,{},"{""overture"": {""lat"": 40.715091705322266, ""lon"": -74.01465606689453, ""zip"": ""10282-5600"", ""city"": ""New York"", ""name"": ""Battery Place Market"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""240 Murray St"", ""release"": ""2026-07-22.0"", ""website"": ""https://batteryplacemarkets.com"", ""category"": ""grocery"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9673627614974976, ""category_source"": ""grocery_store"", ""source_record_id"": ""18d0e025-e0d7-4782-805d-bd64e105b14b""}}",'batteri':1 'market':3 'new':4 'place':2 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
