chain_site_id,spider,brand,name,street,city,state,phone,website,opening_hours,open_24h,lat,lon,geom,observed_at,run_id,ingested_at
fleetpride_us:015-A,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",7001 West Reno,Oklahoma City,OK,+1 405-495-4002,https://branches.fleetpride.com/ok/oklahomacity/truckparts-015-a.html,Mo-Fr 07:30-17:00; Sa 09:00-12:00,,35.464879,-97.635355,POINT(-97.635355 35.464879),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:1,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1265 Riverside Drive,Memphis,TN,+1 901-291-1000,https://branches.fleetpride.com/tn/memphis/truckparts-1.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,35.113472,-90.075178,POINT(-90.075178 35.113472),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:11,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2424 18th Street North,Birmingham,AL,+1 205-324-1177,https://branches.fleetpride.com/al/birmingham/truckparts-11.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,33.542254,-86.82695,POINT(-86.82695 33.542254),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:1-1048433-0,fleetpride_us,Grayson Truck and Trailer Repair,Grayson Truck and Trailer Repair,87 Truck Ln,Grayson,KY,+1 606-474-8508,https://branches.fleetpride.com/ky/grayson/truckparts-1-1048433-0.html,Mo-Fr 08:00-17:00,,38.3455243,-82.9512194,POINT(-82.9512194 38.3455243),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:12,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",3830 Irving Blvd.,Dallas,TX,+1 214-630-9791,https://branches.fleetpride.com/tx/dallas/truckparts-12.html,Mo-Fr 08:00-17:00; Sa 09:00-12:00,,32.807542,-96.881855,POINT(-96.881855 32.807542),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:13,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",7731 E Front Street,Kansas City,MO,+1 816-483-3010,https://branches.fleetpride.com/mo/kansascity/truckparts-13.html,Mo-Fr 08:00-17:00,,39.129082,-94.490125,POINT(-94.490125 39.129082),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:1-305625-0,fleetpride_us,"A-Tech Services, LLC","A-Tech Services, LLC",1321 B Whitehorse Road,Greenville,SC,+1 864-236-9997,https://branches.fleetpride.com/sc/greenville/truckparts-1-305625-0.html,,,34.7844869,-82.4134387,POINT(-82.4134387 34.7844869),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:1-321672-0,fleetpride_us,"Crosby Trucking Service, Inc.","Crosby Trucking Service, Inc.",270 Keeletown Road,Mount Sidney,VA,+1 540-234-9268,https://branches.fleetpride.com/va/mountsidney/truckparts-1-321672-0.html,,,38.267656,-78.945232,POINT(-78.945232 38.267656),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:133,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",51 Delta Drive,Pawtucket,RI,+1 401-722-2030,https://branches.fleetpride.com/ri/pawtucket/truckparts-133.html,Mo-Fr 08:00-16:30,,41.8766759,-71.367853,POINT(-71.367853 41.8766759),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:134,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",712 Amherst Street,Sunderland,MA,+1 413-548-9773,https://branches.fleetpride.com/ma/sunderland/truckparts-134.html,Mo-Fr 07:30-17:00,,42.4284079,-72.539477,POINT(-72.539477 42.4284079),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:1-452068-0,fleetpride_us,Treto's Tire & Lube,Treto's Tire & Lube,901 Sheffield Hwy,Ozona,TX,+1 325-392-9111,https://branches.fleetpride.com/tx/ozona/truckparts-1-452068-0.html,,,30.7095617,-101.2067718,POINT(-101.2067718 30.7095617),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:153,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",6095 North Webster Street,Dayton,OH,+1 937-890-7757,https://branches.fleetpride.com/oh/dayton/truckparts-153.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,39.830273,-84.17971,POINT(-84.17971 39.830273),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:163,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",6145 River Road,Harahan,LA,+1 504-733-5570,https://branches.fleetpride.com/la/harahan/truckparts-163.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,29.937854,-90.187541,POINT(-90.187541 29.937854),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:166,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",7700 Airline Highway,Baton Rouge,LA,+1 225-927-3700,https://branches.fleetpride.com/la/batonrouge/truckparts-166.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,30.471065,-91.108939,POINT(-91.108939 30.471065),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:167,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",74672 Highway 25,Covington,LA,+1 985-867-3678,https://branches.fleetpride.com/la/covington/truckparts-167.html,Mo-Fr 08:00-17:00,,30.521173,-90.122437,POINT(-90.122437 30.521173),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:1-684220-0,fleetpride_us,Tri County Truck & Trailer Repair,Tri County Truck & Trailer Repair,13388 RT 9W West,Coxsackie,NY,+1 518-756-2233,https://branches.fleetpride.com/ny/coxsackie/truckparts-1-684220-0.html,,,42.4458834,-73.8142112,POINT(-73.8142112 42.4458834),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
