state,product,observed_on,price_usd_gal,source_id,attribution,note,ingested_at
AK,diesel,2026-08-04,5.407,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-04 07:54:47.958234+00
AK,diesel,2026-07-24,5.311,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-07-24 12:36:52.10235+00
AK,diesel,2026-08-19,5.495,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-19 03:48:36.947414+00
AK,diesel,2026-08-09,5.433,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-09 01:01:19.655887+00
AK,diesel,2026-08-12,5.449,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-12 03:55:43.892073+00
AK,diesel,2026-08-05,5.407,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-05 04:30:49.690791+00
AK,diesel,2026-08-08,5.439,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-08 02:08:56.048448+00
AK,diesel,2026-07-28,5.309,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-07-28 04:22:02.481431+00
AK,diesel,2026-08-14,5.449,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-14 03:25:35.257151+00
AK,diesel,2026-07-26,5.309,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-07-26 12:23:56.711299+00
AK,diesel,2026-08-03,5.407,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-03 04:10:38.869331+00
AK,diesel,2026-08-11,5.446,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-11 03:48:17.844757+00
AK,diesel,2026-08-06,5.43,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-06 03:42:29.881766+00
AK,diesel,2026-08-17,5.461,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-17 03:34:51.704092+00
AK,diesel,2026-08-07,5.425,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-07 01:05:00.33444+00
AK,diesel,2026-08-10,5.439,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-10 03:38:18.245012+00
AK,diesel,2026-08-13,5.443,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-13 00:50:03.363793+00
AL,diesel,2026-08-04,5.145,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-04 07:54:47.958234+00
AL,diesel,2026-08-08,5.105,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-08 02:08:56.048448+00
AL,diesel,2026-07-24,5.055,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-07-24 12:36:52.10235+00
AL,diesel,2026-07-26,5.116,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-07-26 12:23:56.711299+00
AL,diesel,2026-08-14,5.109,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-14 03:25:35.257151+00
AL,diesel,2026-08-19,5.198,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-19 03:48:36.947414+00
AL,diesel,2026-08-13,5.085,aaa_daily,AAA Gas Prices (data © Oil Price Information Service / AAA),"AAA daily state average, surveyed by OPIS/WEX — a state-wide average, still not the price at any individual pump",2026-08-13 00:50:03.363793+00
