osm_id,state,state_source
node/10000264944,CT,osm
node/10001015545,CA,overture
node/10001015599,CA,overture
node/10001510549,KS,overture
node/10001538995,KS,overture
node/1000156036,MN,nearest truck route
node/10001760441,GA,nearest truck route
node/10003086239,RI,overture
node/10003168594,IA,overture
node/10003168595,IA,overture
node/10003168596,IA,overture
node/10003168597,IA,overture
node/10003578314,CA,overture
node/10003836506,IL,overture
node/10003836507,IL,overture
node/1000449648,WI,overture
node/10005144385,AL,overture
node/10005144386,AL,overture
node/10005174671,IL,overture
node/10005174672,IL,overture
node/10005298227,IL,overture
node/10005494016,FL,overture
node/10005619137,IL,nearest truck route
node/10005619142,IL,overture
node/10005620327,IL,overture
node/10005625627,NY,overture
node/10005679274,TX,overture
node/10005679278,TX,overture
node/10005679290,TX,overture
node/10006175347,NC,nearest truck route
node/10006918238,TX,overture
node/10006918242,TX,overture
node/10007478461,NV,overture
node/10007498606,AL,overture
node/10007498607,AL,overture
node/1000755863,CA,overture
node/10008793472,NC,osm
node/10009481935,CA,overture
node/10009481939,ND,overture
node/10009481941,CA,overture
node/10009877980,AZ,overture
node/10010176025,GA,osm
node/10010181374,GA,osm
node/10010181375,GA,overture
node/10010181376,GA,overture
node/10010181377,GA,overture
node/10010181380,GA,overture
node/10010181381,GA,osm
node/10010420864,FL,overture
node/10011745441,CA,overture
node/10012311570,UT,osm
node/10012512742,NY,nearest truck route
node/10012512755,NY,overture
node/10012512796,NY,overture
node/10012556541,CA,overture
node/10012556979,CA,overture
node/10012568646,CA,overture
node/10012568655,CA,overture
node/10014293306,MS,nearest truck route
node/10015124788,CA,overture
node/10017127004,FL,nearest truck route
node/10018097085,NC,osm
node/10018911699,CA,overture
node/10018986298,CA,overture
node/10019054891,CA,overture
node/10020195453,MS,overture
node/10023069846,CO,osm
node/1002395302,IN,osm
node/10024527117,NY,nearest truck route
node/10025809348,AZ,overture
node/10026553549,GA,nearest truck route
node/10026553812,GA,overture
node/10026553948,GA,overture
node/10026554268,GA,overture
node/10026554340,GA,overture
node/10027517386,GA,overture
node/10027517387,GA,osm
node/10027518263,GA,osm
node/10027843433,GA,overture
node/10027843477,GA,overture
node/10027948130,GA,overture
node/10027948131,GA,overture
node/10027948194,GA,nearest truck route
node/10027948196,GA,overture
node/10027948198,GA,overture
node/10027948199,GA,overture
node/10027948208,GA,overture
node/10027948323,GA,overture
node/10027948324,GA,overture
node/10027948327,GA,overture
node/10027952094,NV,overture
node/1002844680,WY,osm
node/10028588054,NY,overture
node/10028625592,CA,overture
node/10029041736,GA,overture
node/10030108420,GA,overture
node/10030780268,TX,nearest truck route
node/10030807118,TX,nearest truck route
node/10030823791,ID,osm
node/10030928245,GA,overture
node/10030928254,GA,overture
node/10030928616,GA,overture
node/10030928640,GA,nearest truck route
node/10030928641,GA,overture
node/10031266775,GA,nearest truck route
node/10031266776,GA,overture
node/10031717459,NC,osm
node/10032321767,NC,overture
node/1003350786,MN,nearest truck route
node/10033557465,NY,overture
node/10035221135,LA,nearest truck route
node/10035397623,LA,nearest truck route
node/10037457678,NJ,overture
node/10041139118,OR,nearest truck route
node/10041209851,CA,overture
node/10043449000,MO,overture
node/1004428058,AL,overture
node/10045982622,MO,osm
node/10046196651,VA,osm
node/10047311987,NC,osm
node/10047336062,NC,osm
node/10047343625,NC,osm
node/10048015646,NJ,osm
node/10049117498,NC,osm
node/10049690094,VT,osm
node/1005008075,AL,nearest truck route
node/10050175976,CA,osm
node/10052453718,WA,nearest truck route
node/10052776176,CA,overture
node/10052808573,CA,overture
node/10053010366,WI,osm
node/10053050243,WI,osm
node/1005329594,NE,nearest truck route
node/10054785165,SC,overture
node/10054788820,AR,osm
node/10055103387,PA,nearest truck route
node/10055276646,WI,osm
node/10057091287,PA,overture
node/10057370917,KS,osm
node/10057431754,SC,nearest truck route
node/10057431766,SC,overture
node/10057431772,SC,overture
node/10057852381,IA,osm
node/10059320316,PA,nearest truck route
node/10059925813,GA,osm
node/10059925814,GA,osm
node/10059992537,CA,nearest truck route
node/10059992554,CA,overture
node/10060009125,CA,overture
node/10060387803,OH,osm
node/10061734240,GA,osm
node/10061744027,GA,osm
node/10061744031,GA,osm
node/10061744032,GA,osm
node/10061744034,GA,osm
node/10061918896,NY,nearest truck route
node/10062365265,GA,osm
node/10062517901,CA,overture
node/10062549715,GA,overture
node/10062563717,CA,overture
node/10062606869,GA,overture
node/10062606870,GA,osm
node/10062764042,CA,overture
node/10062764046,CA,overture
node/10062774168,CA,nearest truck route
node/10065340028,GA,osm
