state,cbp_year,cbp_estab_811111,cbp_estab_811310,shops,shops_on_route,route_miles,miles_per_shop,capture_rate,verdict,computed_at
AK,2022,218,94,15,12,1082.2784666723435,72.15189777815623,0.06880733944954129,thin_data,2026-08-18 12:22:44.037058+00
AL,2022,949,407,203,143,1904.232651957744,9.380456413584946,0.21390937829293993,ok,2026-08-18 12:22:44.037058+00
AR,2022,578,256,158,148,5939.618246543016,37.592520547740605,0.27335640138408307,ok,2026-08-18 12:22:44.037058+00
AZ,2022,1651,345,208,175,2483.5958443517843,11.940364636306656,0.12598425196850394,ok,2026-08-18 12:22:44.037058+00
CA,2022,9705,1861,832,705,4265.584886655663,5.126904911845748,0.08572900566718186,ok,2026-08-18 12:22:44.037058+00
CO,2022,1565,405,217,214,5460.039152210131,25.161470747512123,0.13865814696485623,ok,2026-08-18 12:22:44.037058+00
CT,2022,920,186,69,60,475.76251089391116,6.8951088535349445,0.075,ok,2026-08-18 12:22:44.037058+00
DC,2022,34,5,4,4,17.063574126725264,4.265893531681316,0.11764705882352941,ok,2026-08-18 12:22:44.037058+00
DE,2022,234,59,31,29,209.49004828922892,6.757743493200933,0.13247863247863248,ok,2026-08-18 12:22:44.037058+00
FL,2022,5092,1350,551,352,2201.6369370471803,3.9957113195048644,0.10820895522388059,ok,2026-08-18 12:22:44.037058+00
GA,2022,2176,710,389,304,2421.5811204336696,6.225144268467017,0.17876838235294118,ok,2026-08-18 12:22:44.037058+00
HI,2022,224,62,14,11,196.20050825430513,14.014322018164652,0.0625,thin_data,2026-08-18 12:22:44.037058+00
IA,2022,1093,423,209,191,6326.835778699919,30.271941524879992,0.19121683440073192,ok,2026-08-18 12:22:44.037058+00
ID,2022,541,195,87,75,1927.7078754067163,22.157561786284095,0.16081330868761554,ok,2026-08-18 12:22:44.037058+00
IL,2022,3923,866,782,597,2266.2763292467193,2.898051571926751,0.19933724190670404,ok,2026-08-18 12:22:44.037058+00
IN,2022,1884,594,328,312,6331.34079780311,19.30286828598509,0.1740976645435244,ok,2026-08-18 12:22:44.037058+00
KS,2022,813,293,180,174,8911.781970409978,49.509899835610995,0.22140221402214022,real_scarcity,2026-08-18 12:22:44.037058+00
KY,2022,876,334,229,203,2735.2333936243576,11.944250627180601,0.2614155251141553,ok,2026-08-18 12:22:44.037058+00
LA,2022,778,583,146,137,4564.529808325432,31.263902796749534,0.18766066838046272,ok,2026-08-18 12:22:44.037058+00
MA,2022,1827,329,142,93,653.6973465291268,4.603502440345963,0.07772304324028462,ok,2026-08-18 12:22:44.037058+00
MD,2022,1641,303,153,123,773.9756080321328,5.058664104785182,0.09323583180987204,ok,2026-08-18 12:22:44.037058+00
ME,2022,616,133,39,14,380.22205124283806,9.749283365200975,0.0633116883116883,thin_data,2026-08-18 12:22:44.037058+00
MI,2022,2525,769,330,302,5637.721555144907,17.084004712560326,0.1306930693069307,ok,2026-08-18 12:22:44.037058+00
MN,2022,1764,500,258,208,4854.543501257782,18.816060082394504,0.14625850340136054,ok,2026-08-18 12:22:44.037058+00
MO,2022,1726,464,295,254,3574.0345806200185,12.115371459728877,0.17091541135573582,ok,2026-08-18 12:22:44.037058+00
MS,2022,512,200,108,104,6676.980608406138,61.82389452227906,0.2109375,real_scarcity,2026-08-18 12:22:44.037058+00
MT,2022,490,146,91,89,6720.7877457580025,73.85481039294508,0.18571428571428572,real_scarcity,2026-08-18 12:22:44.037058+00
NC,2022,2763,776,357,292,3740.3679177620165,10.477221058156909,0.12920738327904452,ok,2026-08-18 12:22:44.037058+00
ND,2022,291,159,87,70,2272.6580943394997,26.1225068314885,0.29896907216494845,ok,2026-08-18 12:22:44.037058+00
NE,2022,713,288,122,119,7666.7344846640835,62.842085939869534,0.17110799438990182,real_scarcity,2026-08-18 12:22:44.037058+00
NH,2022,630,102,58,16,236.57472544899198,4.078874576706759,0.09206349206349207,ok,2026-08-18 12:22:44.037058+00
NJ,2022,2470,366,247,169,451.5064834380716,1.8279614714091967,0.1,ok,2026-08-18 12:22:44.037058+00
NM,2022,471,173,75,70,2445.3400084007276,32.60453344534304,0.1592356687898089,ok,2026-08-18 12:22:44.037058+00
NV,2022,690,160,88,80,2642.3864593438966,30.027118856180643,0.12753623188405797,ok,2026-08-18 12:22:44.037058+00
NY,2022,5346,770,311,217,2082.8717494037437,6.697336814803035,0.05817433595211373,thin_data,2026-08-18 12:22:44.037058+00
OH,2022,2916,878,435,415,8505.265974957685,19.55233557461537,0.14917695473251028,ok,2026-08-18 12:22:44.037058+00
