licence_key,state,licence_id,name,name_norm,address,city,zip,licence_type,expiry,lat,lon,geom,source_url,observed_at,addr_norm
NJ/CIF000001/1,NJ,CIF000001,DEPTFORD,DEPTFORD,725 Tanyard Road,DEPTFORD,08096,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,725TANYARDRD
NJ/CIF000017/1,NJ,CIF000017,BAKERS BASIN,BAKERSBASIN,3200 Brunswick Pike,LAWRENCEVILLE,08648,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,3200BRUNSWICKPIKE
NJ/CIF000018/1,NJ,CIF000018,EATONTOWN,EATONTOWN,109 Route 36,EATONTOWN,07724,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,109RT36
NJ/CIF000019/1,NJ,CIF000019,FLEMINGTON,FLEMINGTON,181 Routes 31 & 202,FLEMINGTON,08822,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,181ROUTES31202
NJ/CIF000021/1,NJ,CIF000021,KILMER,KILMER,33 Kilmer Road,EDISON,08817,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,33KILMERRD
NJ/CIF000023/1,NJ,CIF000023,RAHWAY,RAHWAY,1140 Woodbridge Rd,RAHWAY,07065,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1140WOODBRIDGERD
NJ/CIF000025/1,NJ,CIF000025,SOUTH BRUNSWICK,SOUTHBRUNSWICK,2236 Route 130,DAYTON,08810,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,2236RT130
NJ/CIF000029/1,NJ,CIF000029,CAPE MAY,CAPEMAY,6 West Shellbay Ave.,CAPE MAY,08210,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,6WSHELLBAYAVE
NJ/CIF000030/1,NJ,CIF000030,CHERRY HILL,CHERRYHILL,617 Hampton Rd,CHERRY HILL,08002,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,617HAMPTONRD
NJ/CIF000032/1,NJ,CIF000032,MANAHAWKIN,MANAHAWKIN,220 Recovery Road,MANAHAWKIN,08050,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,220RECOVERYRD
NJ/CIF000033/1,NJ,CIF000033,MAYS LANDING,MAYSLANDING,1477 19th St.,MAYS LANDING,08330,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,147719ST
NJ/CIF000034/1,NJ,CIF000034,SALEM,SALEM,185 Woodstown Road,SALEM,08079,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,185WOODSTOWNRD
NJ/CIF000035/1,NJ,CIF000035,SOUTHAMPTON,SOUTHAMPTON,1875 Route 38,SOUTHAMPTON,08088,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1875RT38
NJ/CIF000037/1,NJ,CIF000037,WINSLOW,WINSLOW,250 Spring Garden Rd,ANCORA,08037,State Inspection Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,250SPRINGGARDENRD
