site_id,kind,name,state,truck_spaces,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,last_seen_at,last_seen_src,liveness,live_state,live_presence,live_sources,live_corrob,live_reasons
1,public_rest_area,Grand Bay Welcome Center,AL,90,POINT(-88.3930319998784 30.4772380003315),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""AL"", ""county"": ""Mobile"", ""OBJECTID"": 1, ""latitude"": 30.477238, ""longitude"": -88.393032, ""mile_post"": ""0.485"", ""municipality"": ""Grand Bay"", ""state_number"": ""01"", ""highway_route"": ""I-10 EB"", ""nhs_rest_stop"": ""Grand Bay Welcome Center"", ""number_of_spots"": 90}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
10,public_rest_area,Butler County Rest Area (SB),AL,11,POINT(-86.6075699996155 31.8864509996886),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""AL"", ""county"": ""Butler"", ""OBJECTID"": 10, ""latitude"": 31.886451, ""longitude"": -86.60757, ""mile_post"": ""133.234"", ""municipality"": ""Greenville"", ""state_number"": ""01"", ""highway_route"": ""I-65 SB"", ""nhs_rest_stop"": ""Butler County Rest Area (SB)"", ""number_of_spots"": 11}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
100,public_rest_area,Clyde V. Kane Southbound,CA,23,POINT(-116.47023000022 35.0344329998773),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""CA"", ""county"": ""San Bernardino"", ""OBJECTID"": 100, ""latitude"": 35.034433, ""longitude"": -116.47023, ""mile_post"": ""PM 107.4"", ""municipality"": ""Camp Irwin"", ""state_number"": ""06"", ""highway_route"": ""I-15 S"", ""nhs_rest_stop"": ""Clyde V. Kane Southbound"", ""number_of_spots"": 23}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1000,public_rest_area,Hooksett Welcome Center North,NH,6,POINT(-71.475698000415 43.110439000019),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Merrimack"", ""OBJECTID"": 1000, ""latitude"": 43.110439, ""longitude"": -71.475698, ""mile_post"": ""31"", ""municipality"": ""Hooksett"", ""state_number"": ""33"", ""highway_route"": ""I-93N"", ""nhs_rest_stop"": ""Hooksett Welcome Center North"", ""number_of_spots"": 6}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1001,public_rest_area,Sutton Rest Area,NH,16,POINT(-71.9100590000516 43.339671000299),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Merrimack"", ""OBJECTID"": 1001, ""latitude"": 43.339671, ""longitude"": -71.910059, ""mile_post"": ""26"", ""municipality"": ""Sutton"", ""state_number"": ""33"", ""highway_route"": ""I-89S"", ""nhs_rest_stop"": ""Sutton Rest Area"", ""number_of_spots"": 16}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1002,public_rest_area,Canterbury Rest Area,NH,15,POINT(-71.6080280002652 43.3722619999173),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Merrimack"", ""OBJECTID"": 1002, ""latitude"": 43.372262, ""longitude"": -71.608028, ""mile_post"": ""51"", ""municipality"": ""Canterbury"", ""state_number"": ""33"", ""highway_route"": ""I-93N"", ""nhs_rest_stop"": ""Canterbury Rest Area"", ""number_of_spots"": 15}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1003,public_rest_area,Springfield Rest Area,NH,10,POINT(-72.1018000001936 43.4679000001095),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Sullivan"", ""OBJECTID"": 1003, ""latitude"": 43.4679, ""longitude"": -72.1018, ""mile_post"": ""39"", ""municipality"": ""Springfield"", ""state_number"": ""33"", ""highway_route"": ""I-89N"", ""nhs_rest_stop"": ""Springfield Rest Area"", ""number_of_spots"": 10}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1004,public_rest_area,Sanbornton Rest Area,NH,9,POINT(-71.5988009997401 43.4915529997074),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Belknap"", ""OBJECTID"": 1004, ""latitude"": 43.491553, ""longitude"": -71.598801, ""mile_post"": ""61"", ""municipality"": ""Sanbornton"", ""state_number"": ""33"", ""highway_route"": ""I-93S"", ""nhs_rest_stop"": ""Sanbornton Rest Area"", ""number_of_spots"": 9}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1005,public_rest_area,Lebanon Rest Area,NH,8,POINT(-72.2611999999021 43.6488000002553),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Grafton"", ""OBJECTID"": 1005, ""latitude"": 43.6488, ""longitude"": -72.2612, ""mile_post"": ""57"", ""municipality"": ""Lebanon"", ""state_number"": ""33"", ""highway_route"": ""I-89S"", ""nhs_rest_stop"": ""Lebanon Rest Area"", ""number_of_spots"": 8}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1006,public_rest_area,North Conway Rest Area,NH,4,POINT(-71.139500000107 44.0784999999614),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Carroll"", ""OBJECTID"": 1006, ""latitude"": 44.0785, ""longitude"": -71.1395, ""mile_post"": ""NA"", ""municipality"": ""North Conway"", ""state_number"": ""33"", ""highway_route"": ""Rt. 16E"", ""nhs_rest_stop"": ""North Conway Rest Area"", ""number_of_spots"": 4}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1007,public_rest_area,Littleton Rest Area,NH,10,POINT(-71.8724999996447 44.3268000001235),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Grafton"", ""OBJECTID"": 1007, ""latitude"": 44.3268, ""longitude"": -71.8725, ""mile_post"": ""Exit 44"", ""municipality"": ""Littleton"", ""state_number"": ""33"", ""highway_route"": ""I-93"", ""nhs_rest_stop"": ""Littleton Rest Area"", ""number_of_spots"": 10}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1008,public_rest_area,Colebrook Rest Area,NH,2,POINT(-71.5079999995921 44.9245999997216),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NH"", ""county"": ""Coos"", ""OBJECTID"": 1008, ""latitude"": 44.9246, ""longitude"": -71.508, ""mile_post"": ""NA"", ""municipality"": ""Colebrook"", ""state_number"": ""33"", ""highway_route"": ""Rt. 3N"", ""nhs_rest_stop"": ""Colebrook Rest Area"", ""number_of_spots"": 2}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
