ping_id,device_id,observed_at,received_at,geom,speed_kph,heading_deg,accuracy_m,route_id,route_ref,route_dist_m
1,truck-demo,2026-07-26 13:17:52.614901+00,2026-07-26 13:17:52.629111+00,POINT(-96.797 32.7767),88.5,181,6,139587,I 30,380
2,truck-demo,2026-07-26 13:23:08.082001+00,2026-07-26 13:23:08.132515+00,POINT(-96.81 32.7767),95,190,5,139567,I 35,154
3,truck-demo,2026-07-26 13:23:16.021751+00,2026-07-26 13:23:16.089302+00,POINT(-96.814 32.7567),95,190,5,139313,I 35,389
4,truck-demo,2026-07-26 13:23:22.705317+00,2026-07-26 13:23:22.798398+00,POINT(-96.818 32.7367),95,190,5,139292,I 35,548
5,truck-demo,2026-07-26 13:23:29.59937+00,2026-07-26 13:23:29.663196+00,POINT(-96.822 32.7167),95,190,5,139294,I 35,604
6,truck-demo,2026-07-26 13:23:36.348514+00,2026-07-26 13:23:36.42367+00,POINT(-96.826 32.6967),95,190,5,139281,I 35,254
7,truck-demo,2026-07-26 13:23:43.826403+00,2026-07-26 13:23:43.912152+00,POINT(-96.83 32.6767),95,190,5,139279,I 35,702
8,truck-demo,2026-07-26 13:23:51.393237+00,2026-07-26 13:23:51.459949+00,POINT(-96.834 32.6567),95,190,5,139272,I 35,1019
9,truck-demo,2026-07-26 13:23:58.30476+00,2026-07-26 13:23:58.478658+00,POINT(-96.838 32.6367),95,190,5,139264,I 20,637
10,truck-demo,2026-07-26 13:36:18.447953+00,2026-07-26 13:36:18.54937+00,POINT(-96.81 32.7767),95,190,5,139567,I 35,154
11,truck-demo,2026-07-26 13:36:24.686405+00,2026-07-26 13:36:24.773406+00,POINT(-96.814 32.7567),95,190,5,139313,I 35,389
12,truck-demo,2026-07-26 13:36:30.908065+00,2026-07-26 13:36:30.948543+00,POINT(-96.818 32.7367),95,190,5,139292,I 35,548
13,truck-demo,2026-07-26 13:36:37.146917+00,2026-07-26 13:36:37.333884+00,POINT(-96.822 32.7167),95,190,5,139294,I 35,604
14,truck-demo,2026-07-26 13:36:43.52377+00,2026-07-26 13:36:43.605676+00,POINT(-96.826 32.6967),95,190,5,139281,I 35,254
15,truck-demo,2026-07-26 13:38:05.292287+00,2026-07-26 13:38:05.380388+00,POINT(-96.81 32.7767),95,190,5,139567,I 35,154
16,truck-demo,2026-07-26 13:38:11.517552+00,2026-07-26 13:38:11.592204+00,POINT(-96.814 32.7567),95,190,5,139313,I 35,389
17,truck-demo,2026-07-26 13:38:17.813259+00,2026-07-26 13:38:17.888918+00,POINT(-96.818 32.7367),95,190,5,139292,I 35,548
18,truck-demo,2026-07-26 13:38:24.105811+00,2026-07-26 13:38:24.169367+00,POINT(-96.822 32.7167),95,190,5,139294,I 35,604
