osm_id,name,brand,state,truck_repair,trailer_repair,hgv_access,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,route_id,route_ref,route_name,route_dist_m,on_route_5km
node/10001539011,TA Truck Service,,,t,,,POINT(-101.0524169 39.3607548),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""TA Truck Service"", ""shop"": ""car_repair"", ""service:vehicle:truck_repair"": ""yes""}",106795,S 25,S 25,218,t
node/10010689361,,,,t,,,POINT(-82.0952182 28.8753857),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""shop"": ""car_repair"", ""addr:city"": ""Wildwood"", ""addr:street"": ""East SR 44"", ""addr:postcode"": ""34785"", ""addr:housenumber"": ""514"", ""service:vehicle:truck_repair"": ""yes""}",186272,I 75,I 75,280,t
node/10117506169,Kevin's Garage,,MN,t,,,POINT(-94.7204712 44.5268591),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""Kevin's Garage"", ""shop"": ""car_repair"", ""phone"": ""+1-507-766-7584"", ""operator"": ""Kevin M. Schafer"", ""addr:city"": ""Fairfax"", ""addr:state"": ""MN"", ""addr:street"": ""Park Street South"", ""payment:cash"": ""yes"", ""addr:postcode"": ""55332"", ""opening_hours"": ""Mo-Fr 08:00-17:00"", ""payment:cheque"": ""yes"", ""addr:housenumber"": ""128"", ""payment:credit_cards"": ""yes"", ""service:vehicle:brakes"": ""yes"", ""service:vehicle:muffler"": ""yes"", ""service:vehicle:repairs"": ""yes"", ""service:vehicle:batteries"": ""yes"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:electrical"": ""yes"", ""service:vehicle:inspection"": ""yes"", ""service:vehicle:oil_change"": ""yes"", ""service:vehicle:diagnostics"": ""yes"", ""service:vehicle:truck_repair"": ""yes"", ""service:vehicle:air_conditioning"": ""yes""}",342379,S 19,S 19,234,t
node/10218523459,Palm Truck Centers,,FL,t,,,POINT(-81.8064549 26.637824),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""Palm Truck Centers"", ""shop"": ""truck_repair"", ""addr:city"": ""Fort Myers"", ""addr:state"": ""FL"", ""addr:street"": ""Dr. Martin Luther King Jr. Boulevard"", ""addr:postcode"": ""33905"", ""addr:housenumber"": ""5313""}",185877,I 75,I 75,445,t
node/10282967784,,,,t,,,POINT(-85.1832327 30.7187661),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""shop"": ""car_repair"", ""service:vehicle:truck_repair"": ""yes""}",184919,I 10,I 10,217,t
node/10573976582,Hunt's Auto Repair and Tires,,OH,t,,,POINT(-82.9970492 40.7777486),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""Hunt's Auto Repair and Tires"", ""shop"": ""car_repair"", ""phone"": ""+1-419-562-2262"", ""addr:city"": ""Bucyrus"", ""addr:state"": ""OH"", ""addr:street"": ""Marion Road"", ""addr:postcode"": ""44820"", ""opening_hours"": ""Mo-Fr 08:00-17:00"", ""addr:housenumber"": ""2061"", ""service:vehicle:tyres"": ""yes"", ""service:vehicle:car_parts"": ""yes"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:truck_repair"": ""yes""}",417183,S 4,S 4,49,t
node/10587225877,Rexroad Mobile Auto Repair,Acura;Audi;BMW;Buick;Cadillac;Chevrolet;Chrysler;Dodge;Ford;Genesis;Honda;Hyundai;Infiniti;Jaguar;Jeep;Kia;Lamborghini;Land Rover;Lexus;Lincoln;Lotus;Maserati;Maybach;Mazda;Mercedes-Benz;Nissan;Toyota;Volkswagen;Volvo,TX,t,,,POINT(-96.7357028 33.1753389),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""Rexroad Mobile Auto Repair"", ""shop"": ""car_repair"", ""brand"": ""Acura;Audi;BMW;Buick;Cadillac;Chevrolet;Chrysler;Dodge;Ford;Genesis;Honda;Hyundai;Infiniti;Jaguar;Jeep;Kia;Lamborghini;Land Rover;Lexus;Lincoln;Lotus;Maserati;Maybach;Mazda;Mercedes-Benz;Nissan;Toyota;Volkswagen;Volvo"", ""email"": ""aaron@rexroadauto.com"", ""image"": ""https://www.rexroadauto.com/wp-content/uploads/2021/10/Rexroad-Logo-v2-01.jpg"", ""phone"": ""+1-469-469-4521"", ""website"": ""https://www.rexroadauto.com"", ""operator"": ""Aaron Rexroad"", ""addr:unit"": ""500"", ""addr:state"": ""TX"", ""addr:street"": ""Eldorado Parkway"", ""description"": ""Rexroad Mobile Auto Repair provides car repair, maintenance, and diagnostics at the convenience of your home or office. Our highly rated mechanics offer services all over North Texas cities."", ""payment:app"": ""yes"", ""payment:cash"": ""yes"", ""payment:visa"": ""yes"", ""addr:postcode"": ""75035"", ""opening_hours"": ""24/7"", ""payment:cheque"": ""yes"", ""payment:paypal"": ""yes"", ""addr:housenumber"": ""15922"", ""air_conditioning"": ""yes"", ""payment:apple_pay"": ""yes"", ""payment:google_pay"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:visa_debit"": ""yes"", ""payment:contactless"": ""yes"", ""payment:debit_cards"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:discover_card"": ""yes"", ""service:vehicle:brakes"": ""yes"", ""service:vehicle:wheels"": ""yes"", ""service:vehicle:muffler"": ""yes"", ""service:vehicle:repairs"": ""yes"", ""payment:american_express"": ""yes"", ""service:vehicle:batteries"": ""yes"", ""service:vehicle:car_parts"": ""yes"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:electrical"": ""yes"", ""service:vehicle:oil_change"": ""yes"", ""service:vehicle:body_repair"": ""yes"", ""service:vehicle:diagnostics"": ""yes"", ""service:vehicle:truck_repair"": ""yes"", ""payment:mastercard_contactless"": ""yes"", ""service:vehicle:air_conditioning"": ""yes""}",140018,U 380,U 380,4788,t
node/10780831533,Olsen's Auto Inc.,,,t,,,POINT(-75.8567863 40.0784574),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""Olsen's Auto Inc."", ""shop"": ""car_repair"", ""email"": ""info@olsensauto.com"", ""addr:unit"": ""110"", ""check_date"": ""2023-04-02"", ""addr:street"": ""Horseshoe Pike"", ""contact:phone"": ""+1 610-273-2956"", ""contact:website"": ""https://olsensauto.com"", ""addr:housenumber"": ""3041"", ""contact:facebook"": ""https://www.facebook.com/olsensauto"", ""service:vehicle:brakes"": ""yes"", ""service:vehicle:alignment"": ""yes"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:oil_change"": ""yes"", ""service:vehicle:diagnostics"": ""yes"", ""service:vehicle:transmission"": ""yes"", ""service:vehicle:truck_repair"": ""yes"", ""service:vehicle:air_conditioning"": ""yes""}",446683,I 76,PENNSYLVANIA TPKE,7761,f
node/10858239546,Speedco,Speedco,,t,,,POINT(-90.6664928 32.3618601),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""Speedco"", ""shop"": ""truck_repair"", ""brand"": ""Speedco"", ""brand:wikidata"": ""Q112455073""}",169697,I 20,I 20,296,t
node/10957904436,Brotherton Truck and Trailer Repair,,MO,t,,,POINT(-93.5431286 39.8330214),osm_truck_repair_overpass,8063,2026-08-18 07:03:05.046159+00,2026-08-18 07:00:34+00,,,,,,{},"{""name"": ""Brotherton Truck and Trailer Repair"", ""shop"": ""car_repair"", ""phone"": ""+1 660 240 61 22"", ""website"": ""https://brothertontt.com/"", ""addr:city"": ""Chillicothe"", ""addr:state"": ""MO"", ""addr:street"": ""North Washington Street"", ""addr:postcode"": ""64601"", ""addr:housenumber"": ""10041"", ""service:vehicle:truck_repair"": ""yes""}",291404,U 65,U 65,65,t
