way_id,highway,name,ref,maxheight_in,maxweight_lb,hgv,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,oneway,maxlength_in,maxwidth_in,bridge,tunnel
11749631,residential,Riverwalk,,,,,"LINESTRING(-75.476596 39.724949,-75.47653 39.72512,-75.476482 39.725228)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Riverwalk"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ"", ""tiger:reviewed"": ""no"", ""tiger:zip_left"": ""08069"", ""tiger:name_base"": ""Riverwalk"", ""tiger:zip_right"": ""08069""}",,,,,
11749777,residential,West Union Street,,,,,"LINESTRING(-75.4663596 39.7341891,-75.4655514 39.7337121)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""West Union Street"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ"", ""tiger:reviewed"": ""no"", ""tiger:zip_left"": ""08069"", ""tiger:name_base"": ""Union"", ""tiger:name_type"": ""St"", ""tiger:zip_right"": ""08069"", ""tiger:name_direction_prefix"": ""W""}",,,,,
11749877,service,,,,,,"LINESTRING(-75.5053982 39.6966021,-75.5047488 39.6956891,-75.5041461 39.6947898)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""access"": ""private"", ""highway"": ""service"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ""}",,,,,
11749885,service,,,,,,"LINESTRING(-75.4926335 39.7078711,-75.4935505 39.7062322,-75.4945424 39.7044595,-75.4947597 39.7040497,-75.4948227 39.7038879,-75.494921 39.703457,-75.4951 39.7030732,-75.4954774 39.7019027,-75.4956872 39.7014113,-75.4958755 39.7010527)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""access"": ""private"", ""highway"": ""service"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ""}",,,,,
11750247,residential,,,,,,"LINESTRING(-75.510038 39.670478,-75.5095481 39.6702262)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:tlid"": ""174419086"", ""tiger:county"": ""Salem, NJ"", ""tiger:source"": ""tiger_import_dch_v0.6_20070828"", ""tiger:reviewed"": ""no"", ""tiger:separated"": ""no"", ""tiger:upload_uuid"": ""bulk_upload.pl-91d7c84f-d1bf-49fc-be0b-0ceb40d5b641""}",,,,,
11750273,service,,,,,,"LINESTRING(-75.4895621 39.691882,-75.4919358 39.6934759,-75.4925876 39.6939184,-75.4931131 39.694208,-75.4937119 39.6946058,-75.4937215 39.6946119,-75.4937589 39.6946366,-75.4937905 39.6946582,-75.4938753 39.6947139,-75.4951252 39.6955437,-75.4953407 39.6957154,-75.4961139 39.6963312,-75.4963526 39.6964973,-75.4966391 39.6966968,-75.4970808 39.6970213,-75.4985642 39.6981114,-75.498647 39.6981723,-75.4986921 39.6982054,-75.4989137 39.6983682,-75.4993419 39.6986829)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""access"": ""private"", ""highway"": ""service"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ""}",,,,,
11750308,service,,,,,,"LINESTRING(-75.5055855 39.6908482,-75.5055895 39.6907841,-75.5055041 39.6907122,-75.5055193 39.6904579,-75.5055377 39.6900048,-75.5055453 39.6897086,-75.505516 39.6889298,-75.5055503 39.6879634,-75.5055228 39.6878649,-75.5053936 39.6876567,-75.5051734 39.6873923,-75.5049267 39.6872705,-75.5048073 39.6871192,-75.5047926 39.6867454,-75.5048095 39.6860795)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""access"": ""private"", ""highway"": ""service"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ""}",,,,,
11750349,service,,,,,,"LINESTRING(-75.4762255 39.7153207,-75.476335 39.715138,-75.476425 39.715035,-75.476537 39.714899,-75.476666 39.714727,-75.476827 39.714589,-75.476938 39.714452,-75.477079 39.714348,-75.4771225 39.7143261)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""highway"": ""service"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ""}",,,,,
11750537,service,,,,,,"LINESTRING(-75.5006424 39.6855063,-75.5018168 39.6856934,-75.5027358 39.6858401,-75.503579 39.685973,-75.5048095 39.6860795,-75.5050404 39.6860965,-75.5051354 39.6861032,-75.5052894 39.686114,-75.5058233 39.6861514,-75.5069087 39.6863229,-75.5071129 39.6863728,-75.5072683 39.686465,-75.5076239 39.6866761,-75.5076828 39.6867192,-75.5080356 39.6869776,-75.5082424 39.6871211,-75.5084412 39.6872488,-75.5086762 39.6874269,-75.5087054 39.6874491,-75.5088524 39.6875828,-75.5088728 39.6888463,-75.5088811 39.6893621,-75.5088318 39.6895553,-75.5087376 39.6896549,-75.5087178 39.6917565)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""access"": ""private"", ""highway"": ""service"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ""}",,,,,
11750775,service,,,,,,"LINESTRING(-75.5087376 39.6896549,-75.5068272 39.6896831,-75.5060037 39.6896952,-75.5058863 39.6896985,-75.5055453 39.6897086)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""access"": ""private"", ""highway"": ""service"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Salem, NJ""}",,,,,
