osm_id,name,state,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props
node/10001507922,CAT Scale,,POINT(-100.8118525 39.118639),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""ref"": ""1094"", ""name"": ""CAT Scale"", ""brand"": ""CAT Scale"", ""amenity"": ""weighbridge"", ""website"": ""https://catscale.com/cat-scale-locator/?single=1094"", ""operator"": ""TA"", ""brand:wikidata"": ""Q111631907"", ""operator:phone"": ""+1 785-672-4111"", ""operator:website"": ""https://www.ta-petro.com/location/ks/ta-oakley/"", ""operator:wikidata"": ""Q7835892""}"
node/10001539012,CAT Scale,,POINT(-101.0528274 39.3606343),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""ref"": ""1145"", ""name"": ""CAT Scale"", ""brand"": ""CAT Scale"", ""amenity"": ""weighbridge"", ""website"": ""https://catscale.com/cat-scale-locator/?single=1145"", ""operator"": ""Oasis Travel Center"", ""brand:wikidata"": ""Q111631907"", ""operator:phone"": ""+1 785-460-0044""}"
node/10001567849,CAT Scale,,POINT(-101.7271753 39.3253424),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""name"": ""CAT Scale"", ""brand"": ""CAT Scale"", ""amenity"": ""weighbridge"", ""brand:wikidata"": ""Q111631907""}"
node/10001575041,,,POINT(-102.0438227 39.3294393),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""amenity"": ""weighbridge""}"
node/10003142518,,,POINT(-95.6282142 40.5512485),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""amenity"": ""weighbridge""}"
node/10003142519,,,POINT(-95.6279307 40.5495047),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""amenity"": ""weighbridge""}"
node/10003173644,CAT Scale,,POINT(-95.8278534 41.046051),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""ref"": ""1949"", ""name"": ""CAT Scale"", ""brand"": ""CAT Scale"", ""amenity"": ""weighbridge"", ""website"": ""https://catscale.com/cat-scale-locator/?single=1949"", ""operator"": ""Love's Travel Stop"", ""brand:wikidata"": ""Q111631907"", ""operator:phone"": ""+1 712-622-8201"", ""operator:website"": ""https://www.loves.com/locations/704"", ""operator:wikidata"": ""Q1872496""}"
node/10003605648,,,POINT(-87.9473707 42.4686681),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""amenity"": ""weighbridge""}"
node/10003605649,,,POINT(-87.9474535 42.468472),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""amenity"": ""weighbridge""}"
node/10003642724,,,POINT(-86.1547888 32.2588414),osm_pois,981,2026-07-22 20:25:30.476626+00,2026-07-21 20:21:50+00,,,,,,{},"{""amenity"": ""weighbridge""}"
