edge_id,min_clearance_in,max_weight_lb,closed,hazmat_blocked,structures,structures_unknown_clearance
8,,,f,f,1,1
10,,,f,f,1,1
29,,,f,f,1,1
32,,,f,f,1,1
65,,,f,f,1,1
73,263,,f,f,1,0
74,263,,f,f,1,0
77,,,f,f,1,1
85,,,f,f,2,2
96,,,f,f,1,1
98,,,f,f,1,1
99,,,f,f,1,1
106,207.9,,f,f,2,0
110,,,f,f,1,1
112,,,f,f,1,1
134,207.9,,f,f,1,0
149,,,f,f,1,1
164,192.9,,f,f,2,0
181,,,f,f,1,1
188,185.8,,f,f,5,0
197,203.9,,f,f,1,0
211,,,f,f,1,1
212,,,f,f,1,1
214,194.1,,f,f,2,0
220,,,f,f,2,2
221,,,f,f,1,1
233,,,f,f,1,1
236,,,f,f,1,1
243,,,f,f,1,1
244,,,f,f,1,1
256,,,f,f,1,1
257,,,f,f,1,1
262,,,f,f,1,1
272,,,f,f,2,1
288,,,f,f,1,1
289,215,,f,f,3,0
295,201.2,,f,f,3,0
296,,,f,f,1,1
299,209.1,,f,f,3,1
300,,,f,f,1,1
301,203.9,,f,f,1,0
305,196.9,,f,f,5,0
306,220.1,,f,f,3,0
325,,,f,f,1,1
326,,,f,f,1,1
327,,,f,f,1,1
332,,,f,f,1,1
335,,,f,f,1,1
347,,,f,f,1,1
350,,,f,f,1,1
380,,,f,f,1,1
424,,,f,f,1,1
429,,,f,f,1,1
430,,,f,f,1,1
440,,,f,f,1,1
477,,,f,f,1,1
479,,,f,f,1,1
491,,,f,f,1,1
492,,,f,f,1,1
655,,,f,f,1,1
667,,,f,f,1,1
682,,,f,f,1,1
880,,,f,f,1,1
895,,,f,f,1,1
896,,,f,f,1,1
899,,,f,f,1,1
902,,,f,f,1,1
916,,,f,f,1,1
944,,,f,f,1,1
954,,,f,f,1,1
987,,,f,f,1,1
999,174,,f,f,4,2
1001,201.2,,f,f,5,2
1002,,,f,f,1,1
1005,,,f,f,2,2
1012,207.9,,f,f,1,0
1013,207.9,,f,f,1,0
1035,,,f,f,1,1
1036,,,f,f,1,1
1053,,,f,f,1,1
1056,,,f,f,1,1
1108,,,f,f,1,1
1151,,,f,f,1,1
1157,,,f,f,1,1
1170,,,f,f,1,1
1183,,,f,f,1,1
1224,181.9,,f,f,3,1
1298,,,f,f,1,1
1312,,,f,f,1,1
1313,,,f,f,1,1
1327,,,f,f,1,1
1328,,,f,f,1,1
1371,,,f,f,1,1
1375,,,f,f,1,1
1392,,,f,f,1,1
1399,,,f,f,1,1
1411,,,f,f,1,1
1456,,,f,f,1,1
1457,194.9,,f,f,3,1
1459,,,f,f,2,0
1460,194.5,,f,f,5,0
1461,201.6,,f,f,4,0
1462,,,f,f,4,2
1465,1198.8,,f,f,4,0
1468,,,f,f,2,2
1482,200.8,,f,f,1,0
1485,,,f,f,2,2
1487,,,f,f,4,3
1488,193.3,,f,f,7,1
1489,201.6,,f,f,2,0
1490,191.7,,f,f,4,0
1494,193.7,,f,f,2,0
1495,197.6,,f,f,2,0
1496,,,f,f,5,5
1498,190.9,,f,f,3,1
1499,198.8,,f,f,1,0
1501,,,f,f,1,1
1505,,,f,f,2,2
1506,,,f,f,1,1
1507,193.7,,f,f,3,1
1508,200,,f,f,2,1
1510,,,f,f,1,1
1513,,,f,f,1,1
1521,,,f,f,1,1
1525,,,f,f,1,1
1526,202.8,,f,f,4,2
1527,274.8,,f,f,2,1
1529,193.3,,f,f,3,0
1530,,,f,f,1,1
1531,,,f,f,1,1
1535,,,f,f,1,1
1539,,,f,f,1,1
1569,,,f,f,1,1
1575,,,f,f,1,0
1581,237,,f,f,1,0
1590,,,f,f,1,0
1593,,,f,f,1,0
1616,287,,f,f,2,1
1633,,,f,f,1,1
1646,,,f,f,1,1
1647,,,f,f,1,1
1648,,,f,f,1,1
1656,,,f,f,1,1
1660,,,f,f,1,1
1662,,,f,f,1,1
1665,,,f,f,1,0
1673,185,,f,f,1,0
1695,207.1,,f,f,1,0
1696,194.9,,f,f,1,0
1704,,,f,f,1,1
1715,,,f,f,1,1
1723,,,f,f,1,1
1725,,,f,f,2,2
1726,,,f,f,1,1
1730,,,f,f,1,1
1750,,,f,f,1,1
1775,,,f,f,1,1
1779,,,f,f,1,1
1792,,,f,f,1,1
1804,,,f,f,1,1
1806,,,f,f,1,1
1832,,,f,f,1,1
1836,,,f,f,1,1
1837,,,f,f,1,1
1838,,,f,f,1,1
1844,,,f,f,1,1
1855,,,f,f,2,2
1856,,,f,f,1,1
1857,,,f,f,1,1
1881,,,f,f,1,1
1922,,,f,f,1,1
1942,,,f,f,1,1
1943,,,f,f,1,1
1950,,,f,f,1,1
1965,,,f,f,1,1
1975,,,f,f,1,1
2005,,,f,f,1,1
2021,,,f,f,1,1
2029,,,f,f,1,1
2031,,,f,f,1,1
2039,,,f,f,1,1
2057,203.1,,f,f,1,0
2067,283.1,,f,f,1,0
2076,,,f,f,1,1
2078,,,f,f,1,1
2079,,,f,f,1,1
2089,,,f,f,1,1
2090,,,f,f,1,1
2104,218.1,,f,f,1,0
2115,,,f,f,1,1
2122,,,f,f,1,1
2126,,,f,f,1,1
2127,,,f,f,1,1
2128,,,f,f,1,1
2129,,,f,f,1,1
2130,,,f,f,1,1
2131,,,f,f,1,1
2134,195.7,,f,f,2,0
2135,192.1,,f,f,2,0
2138,193.3,,f,f,1,0
2147,,,f,f,1,1
2152,289,,f,f,1,0
2179,,,f,f,1,1
2198,,,f,f,1,1
2248,,,f,f,1,1
2250,,,f,f,1,1
2251,,,f,f,1,1
2300,,,f,f,1,1
2301,,,f,f,1,1
2305,,,f,f,1,1
2322,,,f,f,1,1
2324,,,f,f,1,1
2330,,,f,f,1,1
2337,,,f,f,1,1
2340,,,f,f,1,0
2342,,,f,f,1,1
2358,,,f,f,1,1
2374,,,f,f,1,1
2413,,,f,f,1,1
2426,,,f,f,1,1
2451,,,f,f,1,1
2472,,,f,f,1,1
2488,,,f,f,1,1
2567,,,f,f,1,1
2576,,,f,f,1,1
2595,,,f,f,1,1
2624,,,f,f,1,1
2634,202.8,,f,f,2,1
2635,,,f,f,1,1
2637,,,f,f,1,0
2639,,,f,f,1,1
2645,,,f,f,1,1
2651,,,f,f,1,1
2652,,,f,f,1,1
2654,,,f,f,1,1
2655,,,f,f,1,1
2657,,,f,f,1,1
2658,309.4,,f,f,1,0
2664,,,f,f,5,5
2671,201.6,,f,f,1,0
2674,,,f,f,2,2
2675,202.8,,f,f,2,1
2679,195.7,,f,f,3,1
2680,196.9,,f,f,2,0
2682,,,f,f,1,0
2689,198,,f,f,5,0
2690,,,f,f,2,2
2691,196.9,,f,f,5,1
2693,200.4,,f,f,2,0
2696,279.5,,f,f,1,0
2702,,,f,f,1,1
2704,,,f,f,3,0
2722,,,f,f,1,1
2739,,,f,f,1,1
2774,,,f,f,1,1
2785,,,f,f,1,1
2790,,,f,f,1,1
2813,,,f,f,1,1
2824,,,f,f,1,1
2837,300,,f,f,1,0
2838,,,f,f,1,1
2839,300,,f,f,2,0
2850,,,f,f,1,1
2854,,,f,f,1,1
2855,,,f,f,1,1
2895,209.8,,f,f,1,0
2904,,,f,f,1,1
2905,,,f,f,1,1
2906,203.1,,f,f,1,0
2912,,,f,f,1,1
2913,,,f,f,1,1
2934,,,f,f,1,1
2942,200,,f,f,1,0
2943,,,f,f,1,1
2958,,,f,f,1,1
2959,,,f,f,1,1
2969,,,f,f,1,1
2972,,,f,f,1,0
2980,287,,f,f,1,0
2993,,,f,f,1,1
3000,,,f,f,1,1
3007,,,f,f,1,1
3017,196.9,,f,f,1,0
3020,,,f,f,1,1
3054,,,f,f,1,1
3065,202,,f,f,2,0
3075,,,f,f,1,1
3097,,,f,f,1,1
3115,194.1,,f,f,1,0
3119,,,f,f,1,1
3120,,,f,f,1,1
3127,,,f,f,1,0
3157,,,f,f,1,1
3159,,,f,f,1,1
3160,,,f,f,1,1
3172,,,f,f,1,1
3173,,,f,f,1,1
3175,,,f,f,1,1
3179,,,f,f,1,1
3180,,,f,f,1,1
3181,194.5,,f,f,3,0
3203,,,f,f,1,1
3217,,,f,f,1,1
3266,,,f,f,1,1
3271,,,f,f,1,1
3272,195.7,,f,f,2,0
3277,,,f,f,1,1
3300,,,f,f,1,1
3316,,,f,f,1,1
3317,,,f,f,1,1
3320,,,f,f,1,1
3335,,,f,f,1,0
3338,,,f,f,1,1
3351,,,f,f,1,1
3352,,,f,f,1,1
3356,203.9,,f,f,1,0
3358,,,f,f,1,1
3362,,,f,f,1,1
3376,,,f,f,1,1
3384,,,f,f,1,1
3400,192.9,,f,f,1,0
3411,198,,f,f,1,0
3415,174,,f,f,1,0
3442,,,f,f,2,2
3446,,,f,f,1,0
3450,,,f,f,1,1
3453,,,f,f,1,1
3456,,,f,f,1,1
3457,,,f,f,1,1
3467,,,f,f,1,1
3469,,,f,f,1,1
3489,198.8,,f,f,1,0
3498,131.9,,f,f,1,0
3500,,,f,f,2,2
3505,,,f,f,1,1
3509,,,f,f,1,1
3535,,,f,f,1,1
3544,,,f,f,1,1
3560,198,,f,f,1,0
3562,198,,f,f,1,0
3565,,,f,f,1,1
3571,250,,f,f,1,0
3572,250,,f,f,1,0
3634,,,f,f,1,1
3653,,,f,f,1,0
3657,,,f,f,1,1
3658,,,f,f,1,1
3659,,,f,f,1,1
3722,,,f,f,1,1
3723,,,f,f,1,1
3724,,,f,f,1,1
3725,,,f,f,1,1
3726,202,,f,f,1,0
3727,,,f,f,2,2
3730,,,f,f,1,1
3736,,,f,f,1,1
3762,,,f,f,1,1
3770,285.8,,f,f,2,0
3776,,,f,f,1,1
3777,,,f,f,1,1
3781,,,f,f,1,1
3783,,,f,f,2,0
3806,,,f,f,1,0
3816,,,f,f,1,1
3817,,,f,f,1,1
3820,,,f,f,1,1
3821,,,f,f,1,1
3823,,,f,f,2,2
3825,289,,f,f,1,0
3828,200,,f,f,1,0
3835,227.2,,f,f,1,0
3838,,,f,f,1,1
3840,,,f,f,1,1
3842,,,f,f,1,0
3856,,,f,f,1,1
3857,,,f,f,1,1
3863,,,f,f,1,1
3864,,,f,f,1,1
3872,,,f,f,1,1
3874,,,f,f,1,1
3905,,,f,f,1,1
3914,205.1,,f,f,1,0
3928,,,f,f,1,1
3937,,,f,f,1,1
3946,,,f,f,1,1
3955,,,f,f,1,1
3957,,,f,f,1,1
3963,198,,f,f,1,0
3965,,,f,f,1,0
3995,,,f,f,1,1
3999,,,f,f,1,1
4020,,,f,f,1,1
4028,,,f,f,1,1
4042,193.3,,f,f,3,0
4043,198,,f,f,1,0
4048,196.1,,f,f,1,0
4051,,,f,f,1,1
4058,,,f,f,1,1
4059,,,f,f,1,1
4060,,,f,f,1,1
4061,277.2,,f,f,1,0
4062,,,f,f,1,0
4069,,,f,f,2,2
4070,,,f,f,1,1
4073,,,f,f,1,1
4074,,,f,f,1,1
4080,,,f,f,1,0
4084,,,f,f,1,1
4099,,,f,f,2,2
4102,,,f,f,1,1
4103,201.6,,f,f,2,0
4104,201.6,,f,f,2,0
4105,201.6,,f,f,2,1
4106,194.5,,f,f,1,0
4107,,,f,f,1,1
4108,,,f,f,2,2
4110,,,f,f,2,0
4128,,,f,f,1,0
4130,,,f,f,1,1
4131,,,f,f,1,1
4133,,,f,f,1,1
4134,,,f,f,1,1
4141,,,f,f,1,1
4161,,,f,f,1,1
4162,,,f,f,1,1
4167,,,f,f,1,1
4177,222.8,,f,f,1,0
4182,,,f,f,1,0
4184,,,f,f,1,0
4189,,,f,f,1,1
4198,,,f,f,2,2
4203,,,f,f,1,1
4234,,,f,f,1,1
4235,,,f,f,1,1
4236,,,f,f,1,1
4237,199.2,,f,f,4,2
4238,198,,f,f,2,0
4239,222,,f,f,4,3
4241,,,f,f,2,0
4243,196.9,,f,f,1,0
4244,200.4,,f,f,2,0
4247,,,f,f,2,2
4250,,,f,f,2,0
4251,206.3,,f,f,1,0
4261,,,f,f,1,1
4266,201.6,,f,f,1,0
4272,,,f,f,2,0
4273,209.8,,f,f,1,0
4274,196.9,,f,f,5,0
4275,,,f,f,2,2
4279,179.9,,f,f,2,0
4281,199.2,,f,f,1,0
4283,199.2,,f,f,5,0
4284,196.9,,f,f,5,2
4285,196.9,,f,f,1,0
4287,201.6,,f,f,1,0
4289,,,f,f,1,0
4291,194.5,,f,f,1,0
4292,,,f,f,1,1
4295,206.3,,f,f,1,0
4296,194.5,,f,f,3,0
4297,,,f,f,2,0
4299,190.9,,f,f,2,0
4300,200.4,,f,f,2,0
4302,194.5,,f,f,2,0
4304,196.9,,f,f,2,0
4305,179.9,,f,f,2,0
4306,195.7,,f,f,2,0
4307,175.2,,f,f,4,0
4308,212.6,,f,f,6,1
4309,184.6,,f,t,3,0
4311,199.2,,f,f,6,2
4312,196.9,,f,f,7,3
