edge_id,route_id,source,target,geom,length_m,kind,route_name,route_ref,sign_type,sign_num,state,fclass,aadt,aadt_com,through_lanes
1,320530,198615,198651,"LINESTRING(-96.6775509994544 42.7615690004968,-96.6755829999744 42.7615840001856)",161.10027003801315,truck_route,S 50,S 50,S,50,SD,4,1154,210,2
2,320535,198746,198822,"LINESTRING(-96.6716599996364 42.7616040004247,-96.6697010003772 42.7616110006717)",160.3567402146844,truck_route,S 50,S 50,S,50,SD,4,1154,210,2
3,320538,198136,198135,"LINESTRING(-96.6878269995677 42.7708959994171,-96.6878299999407 42.7697279994699,-96.6878309997656 42.7694490003203)",160.74495211096757,truck_route,S 50,S 50,S,50,SD,4,1228,232,2
4,320539,198133,198132,"LINESTRING(-96.6878370005117 42.7665569998283,-96.6878409998114 42.7651099996101)",160.74494734505993,truck_route,S 50,S 50,S,50,SD,4,1228,232,2
5,320543,198140,198139,"LINESTRING(-96.6878140000472 42.7752350003528,-96.6878190000701 42.7737879997622)",160.7454207275619,truck_route,S 50,S 50,S,50,SD,4,1228,232,2
6,320574,197748,197799,"LINESTRING(-96.7016820000623 42.8516690005837,-96.6997150004071 42.8516670005063)",160.77648865979583,truck_route,S 48,S 48,S,48,SD,4,834,183,2
7,320585,198599,198641,"LINESTRING(-96.6780880006531 42.8513550001611,-96.6761229997495 42.8512839999785)",160.807416413395,truck_route,S 48,S 48,S,48,SD,4,834,183,2
8,320600,199218,199232,"LINESTRING(-96.65206400001 42.761630999583,-96.6515830006844 42.761630999583,-96.6514519993665 42.761630999583)",50.09559685970503,truck_route,S 50,S 50,S,50,SD,4,1154,210,2
9,320606,199869,200032,"LINESTRING(-96.6382879991581 42.7617390000558,-96.6371099996985 42.7617560000519,-96.6364749994887 42.76176500063,-96.6363199996781 42.7617670003185)",161.1212465406619,truck_route,S 50,S 50,S,50,SD,4,1154,210,2
10,320617,200835,200842,"LINESTRING(-96.6067960000929 42.7616580000486,-96.6064100003035 42.7616509998069,-96.6062600005157 42.7616490001146,-96.6062379998761 42.7616490001146)",45.686928212726905,truck_route,S 3,S 3,S,3,IA,4,1050,0,2
11,320620,199246,199350,"LINESTRING(-96.6505819998784 42.851422999805,-96.6486180005964 42.8514559995567)",160.57353850269513,truck_route,S 48,S 48,S,48,SD,4,834,183,2
12,320632,199782,200021,"LINESTRING(-96.6387989995193 42.8514080001515,-96.6368350002372 42.8513799996031)",160.56193724799323,truck_route,S 48,S 48,S,48,SD,4,834,183,2
